id_autor,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,nacionalidad,fecha_nacimiento
56,Isaac,,Carmona,Miranda,Portuguesa,1936-02-04
57,Claudia,,Reyes,Rojas,Japonesa,1967-01-02
58,Yenny,Luz,Rivera,Rengifo,Cubana,1981-01-04
59,Mónica,Julián,Cárdenas,Salazar,Britanica,1911-06-29
60,René,Yerson,Cortés,Pinzón,Rusa,1999-05-23
61,Lucía,Stella,Tamayo,Murillo,Britanica,1901-04-17
62,Andrés,César,Martínez,Orozco,Mexicana,1941-01-29
63,José,Hernando,Sánchez,Salamanca,Mexicana,1959-04-16
64,Ana,Rosa,Hurtado,Gil,Britanica,1949-12-20
65,Leidy,,González,Naranjo,Estadounidense,1996-10-03
66,Esther,Juan,Beltrán,Guerrero,Rusa,1984-10-23
67,Juan,José,Betancur,Ramírez,Uruguaya,1973-01-15
68,Alejandro,Daniela,Medina,Sandoval,Espanola,1977-05-06
69,Karen,Valentina,Espinosa,García,Canadiense,1983-10-19
70,Dolores,,Molano,Orjuela,Mexicana,1917-08-29
71,Patricia,Fernanda,Ortiz,Saavedra,Italiana,1919-08-11
72,Alonso,Fabio,Arias,Sánchez,Estadounidense,1996-03-24
73,Hernán,Diego,Ávila,Ospino,Canadiense,1932-12-04
74,Jesús,María,Ayala,Suárez,Britanica,1913-07-12
75,Alexander,Samuel,Hernández,González,Portuguesa,1917-07-27
76,Sandra,Luis,Ortiz,Calderón,Portuguesa,1902-08-26
77,Óscar,,Ramírez,Acevedo,Britanica,1929-11-04
78,Lina,Anyi,Espitia,Sanabria,Uruguaya,1938-05-10
79,Andrea,,Salazar,Castro,Mexicana,1929-07-17
80,María,Ángel,Henao,Muñoz,Japonesa,1947-08-03
81,Jairo,,Caicedo,Osorio,Venezolana,1951-03-09
82,María,Ana,Nieto,Rentería,Portuguesa,1987-04-29
83,Luis,Hernán,Murillo,Sánchez,Alemana,1939-01-24
84,Carmen,,Álvarez,Maldonado,Rusa,1997-04-15
85,Orlando,Humberto,Maldonado,Rojas,Italiana,1910-04-05
86,Tatiana,Sandra,Patiño,Loaiza,Uruguaya,1990-03-24
87,Silvia,,Beltrán,Sánchez,Cubana,1928-04-01
88,Edinson,Wilson,Obando,Arrieta,Cubana,1914-05-18
89,Alonso,,Rodríguez,Galvis,Argentina,1912-03-12
90,Vanessa,,Granados,Arenas,Britanica,1972-06-13
91,Wilson,Edwin,Ortiz,Mesa,Rusa,1944-03-06
92,Sandra,Alfredo,Andrade,Torres,Mexicana,1914-09-17
93,Víctor,Magda,Suárez,Rosero,Rusa,1993-10-21
94,Lorena,María,Ramírez,Valencia,Francesa,1936-08-26
95,Wilson,,Parada,Castro,Italiana,1942-10-30
96,Jorge,Pilar,Bejarano,Montoya,Chilena,1953-10-30
97,Samuel,Martha,Manrique,Díaz,Argentina,1901-09-03
98,Uriel,Mónica,González,Mejía,Rusa,1917-12-10
99,Miguel,Eugenia,Calderón,Molina,Estadounidense,1990-10-09
100,Constanza,Carlos,Muñoz,Blanco,Brasilena,1912-05-06
101,María,,Velandia,Montoya,Brasilena,1951-02-19
102,Óscar,Jairo,Camacho,Morales,Portuguesa,1954-04-13
103,Patricia,Enrique,Valencia,Álvarez,Cubana,1901-05-28
104,Edgar,,Pinzón,Suárez,Portuguesa,1953-09-20
105,Natalia,,Parra,Castillo,Espanola,1924-02-05
106,Elizabeth,Carmen,Salazar,Ballesteros,Espanola,1999-04-08
107,Javier,Roberto,Garzón,Suárez,Alemana,1937-10-17
108,Luis,,Rodríguez,Gutiérrez,Estadounidense,1947-05-15
109,Ruby,Carlos,Hoyos,Restrepo,Francesa,1909-02-12
110,Vanesa,Fernanda,Ortega,Galeano,Canadiense,1949-08-24
111,William,Carolina,García,Molina,Italiana,1923-06-23
112,Fernando,Mary,Figueroa,Espinosa,Francesa,1928-12-29
113,Javier,,Torres,Ramírez,Portuguesa,1976-09-27
114,María,Olga,Ortega,Gaitán,Espanola,1913-07-03
115,Patricia,,Peña,Méndez,Chilena,1997-11-23
116,Elena,Jhon,Zapata,Vargas,Brasilena,1999-02-21
117,Alexander,María,Espinosa,Fuentes,Chilena,1907-07-05
118,Sandra,Manuela,Díaz,Bustos,Mexicana,1964-03-15
119,José,Luz,Vargas,Miranda,Britanica,1918-06-12
120,Aida,Francisco,Soto,Ojeda,Portuguesa,1972-12-01
121,Juan,,Quiroga,Galindo,Chilena,1942-06-24
122,David,,Pinzón,Mora,Peruana,1973-12-24
123,Álvaro,Luis,Triana,Sarmiento,Italiana,1973-11-16
124,Cielo,,Muñoz,Vargas,Britanica,1947-11-16
125,Fernando,Sebastián,Guzmán,Pineda,Espanola,1968-08-22
126,Esperanza,,García,Gutiérrez,Uruguaya,1939-11-30
127,Luisa,Angélica,Montoya,Hernández,Venezolana,1962-09-28
128,Ángela,Jhon,Toro,Martínez,Britanica,1940-01-01
129,Julia,Andrés,Guerrero,Rojas,Estadounidense,1971-07-01
130,Mireya,Anderson,Orozco,Vélez,Argentina,1950-01-31
131,Esteban,Sebastián,Flórez,Rodríguez,Cubana,1971-09-19
132,Dayana,,Gallego,Márquez,Portuguesa,1959-06-03
133,Jeison,,Guerrero,Cano,Espanola,1946-11-14
134,Luis,Alberto,Torres,Torres,Francesa,1906-11-13
135,Nohora,María,Quintero,Duarte,Canadiense,1962-01-10
136,Karina,,Pérez,Correa,Italiana,1978-04-21
137,Carmen,Antonio,Rodríguez,Medina,Cubana,1920-10-01
138,Carlos,María,Franco,Hernández,Rusa,1934-02-09
139,Esmeralda,Luz,Rivera,Rojas,Canadiense,1900-04-21
140,Teresa,Cristian,Rivera,Espinosa,Portuguesa,1935-05-10
141,Álvaro,Johana,García,Rodríguez,Argentina,1959-04-01
142,Andrés,Isidro,Romero,Bernal,Espanola,1953-11-20
143,Julio,Jesús,Gallego,Quiroga,Canadiense,1958-07-12
144,Alejandra,María,Sánchez,Hernández,Alemana,1999-06-24
145,Enrique,Carlos,Torres,Bermúdez,Canadiense,1968-01-12
146,Sebastián,,Pérez,Calderón,Peruana,1954-01-01
147,César,Martha,Fonseca,Alfonso,Colombiana,1954-07-11
148,Sandra,María,Álvarez,Buitrago,Canadiense,1957-10-27
149,Richard,Rosalba,Forero,García,Venezolana,1938-05-07
150,Eduardo,Antonio,López,Perdomo,Peruana,1915-03-21
151,Gustavo,Alberto,González,Castrillón,China,1960-02-22
152,Julio,Erika,Osorio,Arias,Britanica,1955-09-13
153,José,Flor,Gaitán,Pinto,Estadounidense,1926-06-10
154,Sandra,Ever,Acevedo,Salcedo,Britanica,1985-04-03
155,Camilo,Nohora,Ardila,Paz,Argentina,1981-09-19
156,Alba,Mario,Montoya,Ramos,Rusa,1934-11-21
157,Nohora,,Ariza,Ortiz,Japonesa,1988-09-15
158,Hernando,Álvaro,García,Rangel,Chilena,1900-12-30
159,Olga,,Restrepo,León,Espanola,1976-04-14
160,Lizeth,María,Gaitán,Díaz,Cubana,1983-05-10
161,Laura,Orlando,Herrera,Rangel,Britanica,1921-10-11
162,Diego,Yaneth,Rodríguez,Erazo,Venezolana,1995-04-21
163,Andrea,,Pinzón,Reyes,China,1956-12-07
164,Rafael,,Barrios,Jaimes,Venezolana,1990-07-29
165,Concepción,William,López,Torres,Portuguesa,1980-01-05
166,Eduardo,,Suárez,Murillo,Uruguaya,1980-10-03
167,Elsy,Andrés,Salazar,Cano,Britanica,1949-10-04
168,Vanessa,,Narváez,Ortiz,Cubana,1986-12-14
169,Tatiana,Paola,Ramírez,González,Francesa,1978-12-05
170,Andrés,Cristian,Díaz,Rojas,Alemana,1942-01-28
171,Yeny,Daniel,Rendón,Silva,Italiana,1996-12-02
172,Amparo,Diana,Ramírez,Torres,Chilena,1941-06-30
173,Gloria,María,Lozano,Castro,Chilena,1938-05-23
174,Roger,Luis,Benavides,Hernández,Canadiense,1959-05-16
175,Gabriel,Concepción,Arboleda,Córdoba,Canadiense,1911-03-05
176,Yuly,Carmenza,Díaz,Martínez,Canadiense,1969-11-19
177,Alex,,Acosta,Pinto,Rusa,1903-07-05
178,Yenny,,García,Méndez,Rusa,1968-04-02
179,Luz,Milena,Londoño,Suárez,Brasilena,1953-07-31
180,Ovidio,,González,Cabrera,Canadiense,1996-07-28
181,Alberto,,Mercado,Torres,Portuguesa,1939-07-29
182,José,Gina,Marín,Estrada,Francesa,1978-03-15
183,Bladimir,Viviana,Beltrán,León,Japonesa,1960-04-24
184,Jairo,,Erazo,Rojas,Japonesa,1929-08-13
185,Laura,,Durán,Sánchez,Chilena,1995-11-03
186,Carolina,Ana,Rodríguez,Cardona,Japonesa,1904-11-12
187,Juan,Margarita,Moreno,Toro,Canadiense,1924-05-08
188,Diego,,Cárdenas,Pacheco,Peruana,1909-01-09
189,Martín,Fabián,Pineda,Durán,Italiana,1937-12-24
190,Oswaldo,Manuela,Vásquez,Jaimes,Italiana,1968-01-11
191,Ferney,Pablo,García,Pérez,Canadiense,1945-04-07
192,Natalia,,Zambrano,Jaramillo,Uruguaya,1903-06-25
193,Nancy,,González,Pacheco,Mexicana,1962-10-18
194,Diego,James,Sierra,Zapata,Argentina,1907-03-24
195,Ana,,Gómez,Mejía,Britanica,1935-10-10
196,Paula,,Vargas,López,China,1927-05-06
197,Giovanni,Fredy,Córdoba,Angarita,Uruguaya,1920-07-11
198,Jhan,Javier,Ortiz,Gómez,Estadounidense,1983-06-11
199,Alfonso,,Correa,Arango,Brasilena,1930-02-09
200,Albeiro,Rosa,Orozco,Acevedo,Espanola,1929-05-21
201,Nathalia,,López,Romero,Espanola,1904-08-10
202,Nelly,,Camacho,Andrade,Rusa,1967-05-06
203,Sofía,Jhon,Gutiérrez,Garcés,Estadounidense,1913-08-21
204,John,Luis,Cárdenas,Álvarez,Britanica,1918-04-15
205,Paula,,Manrique,Parra,Alemana,1921-09-21
206,José,,Ojeda,Navarro,Rusa,1907-05-16
207,Andrés,Rosario,Díaz,Morales,Canadiense,1966-06-29
208,Alfonso,Antonio,Ochoa,Ramírez,Italiana,1902-04-10
209,Luis,,Chaparro,Mendoza,Uruguaya,1918-12-09
210,Jhon,Paola,Quiroz,León,Brasilena,1982-06-29
211,Daniela,,Sánchez,Caicedo,Canadiense,1931-08-10
212,Luis,,López,Ángel,Francesa,1996-07-25
213,Yeison,,Restrepo,González,Venezolana,1978-02-26
214,Hernán,,Sierra,Becerra,Rusa,1948-02-28
215,José,Esperanza,Palacio,Puentes,Britanica,1915-07-21
216,Olga,Luis,Flórez,Caballero,Venezolana,1943-10-04
217,José,,Cuéllar,Alvarado,Rusa,1968-01-02
218,Esperanza,Dario,Guerrero,Betancur,Uruguaya,1958-04-27
219,José,Leonardo,Gutiérrez,Jiménez,Estadounidense,1963-09-01
220,Juan,,Molano,Rincón,Italiana,1950-03-07
221,Milena,,Montoya,Herrera,Francesa,1999-09-23
222,Luis,Andrés,Cárdenas,Ruiz,Estadounidense,1915-05-13
223,Liliana,Jhon,Córdoba,Moreno,Canadiense,1987-09-01
224,Iván,María,Sarmiento,Rueda,Britanica,1985-06-05
225,Edwin,Constanza,Vergara,Fonseca,Uruguaya,1980-06-01
226,Arbey,,Zapata,Gómez,Argentina,1952-10-18
227,José,Juan,Polo,Pulido,Britanica,1954-12-11
228,Carmenza,,Silva,Cruz,Brasilena,1984-12-01
229,Daniel,Amanda,Hoyos,Sánchez,Brasilena,1976-05-07
230,Yuly,,Tamayo,Quintero,Portuguesa,1959-05-10
231,Jhon,Jesús,Melo,Melo,Venezolana,1948-08-11
232,Humberto,Mery,Ruiz,Pinzón,Britanica,1921-08-26
233,Rafael,,Arboleda,Gómez,Italiana,1921-06-15
234,Patricia,,Barrera,Cáceres,Peruana,1934-05-15
235,Leider,Mauricio,Mejía,López,Uruguaya,1949-08-12
236,Fernando,,Arboleda,Marín,Cubana,1950-10-12
237,Jhon,,Rentería,Gómez,Estadounidense,1953-02-26
238,Orlando,Margarita,Rivera,Sánchez,Peruana,1954-03-28
239,Andrés,Carlos,Alzate,Pérez,Portuguesa,1922-09-18
240,Ana,Alfredo,Beltrán,Moreno,Mexicana,1999-04-16
241,Yeison,Isabel,Restrepo,Muñoz,Chilena,1988-01-30
242,Rocío,María,Cifuentes,Galeano,Colombiana,1951-01-08
243,Javier,Cecilia,Marín,Herrera,Venezolana,1961-02-18
244,Juan,Fernando,Salazar,Vargas,Mexicana,1945-04-21
245,Santiago,,Ramírez,Flórez,Uruguaya,1920-06-21
246,Lidia,,Moreno,Córdoba,Japonesa,1988-03-27
247,Carlos,Faber,Jiménez,Mantilla,Mexicana,1927-03-24
248,Alexander,Esperanza,Ospina,Duque,Rusa,1954-07-09
249,Mauricio,Luz,Calderón,Zapata,Britanica,1921-04-03
250,Rubén,Alexandra,Vera,Calderón,Canadiense,1940-06-30
251,Dayana,,Henao,Beltrán,Japonesa,1980-11-01
252,Javier,,Camargo,Navarro,Alemana,1976-12-11
253,Pedro,Antonio,Rentería,Jaimes,China,1910-10-23
254,Natalia,Edna,Murillo,Ardila,Espanola,1937-04-14
255,Andrea,Elizabeth,Cano,Díaz,Francesa,1914-07-27
256,Marcela,Andrés,Domínguez,Contreras,Peruana,1999-01-17
257,Arley,Álvaro,Muñoz,Luna,Colombiana,1973-04-20
258,Sindy,Mario,Cano,Quintero,China,1984-04-26
259,Martha,Uriel,Hernández,Parada,Britanica,1951-09-12
260,Humberto,,Vanegas,Puentes,Venezolana,1912-10-09
261,Reinaldo,,Cifuentes,Morales,Francesa,1935-07-01
262,Dario,María,Montoya,Cárdenas,Portuguesa,1940-05-04
263,Javier,Javier,Orozco,Pinto,Francesa,1925-07-10
264,Walter,Sandra,Moreno,Rodríguez,Peruana,1955-03-13
265,Brayan,Luis,Ceballos,Torres,Rusa,1951-10-15
266,Patricia,Augusto,Chávez,Suárez,Venezolana,1954-07-25
267,Maribel,,Hernández,Monroy,Francesa,1989-10-19
268,Angie,Jacqueline,López,Murcia,Venezolana,1914-06-08
269,Marcela,Marlene,Camacho,Villamizar,Canadiense,1957-11-01
270,Gregorio,Yuliana,Villamizar,Sánchez,Colombiana,1916-05-22
271,Marleny,Diana,Rincón,Parra,Rusa,1903-09-22
272,Rodolfo,,Gómez,Arias,Francesa,1907-03-22
273,Raquel,,Quiroga,Ordóñez,Peruana,1984-06-03
274,Diana,Manuel,Vásquez,Mantilla,Venezolana,1949-11-29
275,Clara,Fanny,Díaz,González,Rusa,1978-03-19
276,Edgar,Elvia,Vergara,Bedoya,Uruguaya,1916-05-16
277,Juan,María,Mesa,Vargas,Canadiense,1959-10-22
278,Carmen,Carlos,García,Cabrera,Espanola,1928-11-09
279,Adriana,Fernanda,Polo,Valencia,Uruguaya,1951-09-19
280,Milena,,Galeano,Rodríguez,Japonesa,1998-09-15
281,Esteban,Milena,Hernández,Vargas,Argentina,1956-06-08
282,Carolina,Alexander,Rodríguez,Rodríguez,Espanola,1972-07-10
283,Dario,,Moreno,Valencia,Colombiana,1997-05-11
284,Carolina,Luz,Villamizar,Silva,Mexicana,1933-08-29
285,Mauricio,Irene,Castaño,Molina,China,1989-06-12
286,Sandra,José,Garcés,Gómez,Mexicana,1936-07-11
287,Julián,Arturo,Guzmán,Cruz,Chilena,1951-09-07
288,Smith,Luz,Acosta,Castillo,Uruguaya,1921-10-15
289,Eduardo,Jackeline,Chávez,García,China,1942-12-09
290,Ana,,León,Martínez,Alemana,1998-11-02
291,Esperanza,Fernando,Caicedo,Valencia,Canadiense,1916-09-22
292,Johnny,Andrés,Cárdenas,Calderón,Espanola,1982-10-19
293,Diana,,Narváez,Márquez,Chilena,1989-06-04
294,Jesús,,Solano,Camargo,Alemana,1991-04-23
295,Fernanda,,Cárdenas,Torres,Canadiense,1986-07-30
296,Ruth,,Cárdenas,Guerrero,Britanica,1981-12-17
297,Diana,Graciela,Vergara,Arias,Japonesa,1934-03-15
298,Lucía,,Caballero,Martínez,Cubana,1924-06-30
299,Álvaro,,López,López,Francesa,1974-06-15
300,Jairo,Edwin,Velásquez,Orozco,Cubana,1947-12-10
301,Luis,,Valencia,González,Alemana,1953-07-28
302,Sonia,,Soto,Espinosa,Rusa,1987-11-10
303,Gabriel,,Camargo,Bolaños,Venezolana,1996-08-21
304,Alberto,Dayana,Escobar,Rojas,Italiana,1999-01-12
305,Alexander,,Torres,González,Japonesa,1981-09-14
306,Santiago,,Morales,Castellanos,Estadounidense,1942-11-07
307,Carlos,Mario,Meza,Bastidas,Britanica,1973-09-15
308,Leonardo,David,Franco,Rodríguez,Uruguaya,1968-05-28
309,Edinson,Álvaro,Ortiz,Díaz,Chilena,1988-11-16
310,Diego,,Álvarez,Herrera,Chilena,1990-02-16
311,María,,Polo,Ospina,Italiana,1918-01-04
312,Yenny,,Sánchez,Barrera,Venezolana,1917-11-22
313,María,Mauricio,Rojas,Guerrero,Venezolana,1902-10-03
314,Flor,,Arias,Camargo,Canadiense,1927-09-13
315,Jaime,Carlos,García,Martínez,Francesa,1960-09-30
316,Cecilia,David,Gil,Ortiz,Japonesa,1914-05-31
317,Alexander,,Reyes,Marín,Portuguesa,1968-03-09
318,Luisa,,Tovar,González,Uruguaya,1997-01-28
319,Ruby,Amparo,Buitrago,Reyes,Argentina,1942-02-15
320,Enrique,María,Medina,Carvajal,Alemana,1940-10-26
321,María,,Suárez,Rojas,Canadiense,1917-08-31
322,Marcela,,Muñoz,Valencia,Espanola,1979-08-11
323,María,Mauricio,Díaz,Rivera,Alemana,1905-03-13
324,Diego,José,Roa,Arévalo,Mexicana,1952-08-22
325,Patricia,Nelson,Gómez,Rodríguez,Canadiense,1926-02-14
326,Marco,Nelson,Escobar,Córdoba,Canadiense,1932-04-23
327,Camilo,Omaira,González,Rodríguez,Argentina,1968-08-22
328,Camila,Francisco,Beltrán,Roa,Britanica,1989-04-19
329,Jonathan,,López,Meza,Chilena,1941-08-30
330,Olga,Juan,Silva,Medina,Francesa,1982-06-18
331,Mercedes,Ruth,Quintero,Pérez,Colombiana,1983-06-25
332,José,,González,Palacios,Portuguesa,1928-05-07
333,Eliecer,Doris,Bonilla,Figueroa,Brasilena,1953-09-05
334,Víctor,Leidy,Sánchez,Ramírez,Canadiense,1944-11-16
335,Alberto,Rafael,Hoyos,Díaz,Alemana,1935-09-30
336,Iván,,Zapata,Gallego,Uruguaya,1919-02-20
337,Rafael,Mayerly,Salgado,Ospina,Rusa,1964-05-29
338,Fernando,Antonio,Alvarado,Pineda,Alemana,1903-12-09
339,Lucía,,García,Marín,Japonesa,1949-04-02
340,Angie,Esperanza,Martínez,Palacios,Mexicana,1989-02-16
341,Mercedes,,Cárdenas,Martínez,Alemana,1941-04-17
342,Álvaro,Ana,Alvarado,Ordóñez,Brasilena,1939-04-19
343,David,José,Restrepo,Cortés,China,1944-12-21
344,Dario,,Triana,Cardona,Chilena,1917-06-08
345,Edwin,,Arango,Ruiz,Mexicana,1955-06-08
346,Damaris,,Sánchez,Martínez,Mexicana,1965-06-20
347,Sandra,,Maldonado,Herrera,Argentina,1952-12-14
348,Alejandro,José,Pérez,Vargas,Canadiense,1931-07-08
349,Francy,Estella,Guzmán,Pérez,Portuguesa,1965-08-24
350,Alicia,Amparo,Parra,Quintero,Francesa,1929-07-11
