id_usuario,primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,correo,telefono,direccion,fecha_registro,clave,rol,limite_prestamos
19,José,,Suárez,Patiño,jose.suarez@correo.edu.co,310 220 61 90,"Calle 1ª # 6-7, 159719, Cómbita, Boyacá",2018-01-13,&fFkQFxAf2,Externo,3
20,Alexandra,Julio,Bonilla,Rendón,alexandra.bonilla@correo.edu.co,+57 602 531 67 78,"Av. carrera 6ª # 2-2 Este, 470194, San Sebastián de Buenavista, Magdalena",2020-04-26,7DDaZN%n*S,Estudiante,3
21,Silvia,Patricia,Camargo,Martínez,silvia.camargo@correo.edu.co,+57 608 131 16 78,"Carrera 72 Sur # 5Q-9 Sur, Bodega 73, 542371, El Carmen, Norte de Santander",2021-05-30,&oPc#v6n&3,Estudiante,3
22,Diego,,García,Sánchez,diego.garcia@correo.edu.co,573259866932,"Av. calle 3ª # 2-5 Este, 739153, Icononzo, Tolima",2022-02-12,0J9!6ZqllO,Bibliotecario,5
23,Leandro,Dora,Medina,Granados,leandro.medina@correo.edu.co,+57 319 764 87 84,"Calle 106 # 79-6 Sur, 685104, El Peñón, Santander",2018-06-25,(%JDLIOe55,Estudiante,8
24,Rocío,Henry,Gaviria,García,rocio.gaviria@correo.edu.co,57 604 546 50 22,"Carrera 80 # 4-9, 769725, Bolívar, Valle del Cauca",2022-02-01,c@y_4Or+%T,Administrativo,5
25,Yenifer,Sebastián,Marín,Medina,yenifer.marin@correo.edu.co,3232863011,"Avenida calle 9ª # 7-83 Este, 158426, Santa María, Boyacá",2023-11-06,Pv6WAgz3!),Externo,3
26,María,Alcides,Alarcón,Castro,maria.alarcon@correo.edu.co,+576024132495,"Dg. 90 # 9G-18 Sur, 524617, Sandoná, Nariño",2024-03-24,%5D1B^3j%a,Estudiante,2
27,Mercedes,,Ruiz,Mora,mercedes.ruiz@correo.edu.co,+573009016856,"Cr. 171M Este # 61-9 Sur, Bodega 270, 279027, Atrato, Chocó",2025-06-22,&UnNEdQb8%,Externo,2
28,Janeth,,Muñoz,Franco,janeth.munoz@correo.edu.co,(+57)6096956572,"Transversal 8ª # 2-60 Este, 252662, La Calera, Cundinamarca",2022-06-04,Nq!q2+Nr%6,Estudiante,5
29,Edwin,,Torres,Ruiz,edwin.torres@correo.edu.co,57 310 252 85 46,"Cr. 177 Este # 21-9 Sur, 152073, Coper, Boyacá",2023-05-16,ga#5E%Kw^n,Docente,5
30,Marina,Javier,Martínez,Daza,marina.martinez@correo.edu.co,327 719 61 99,"Cr. 7ª # 43-5 Sur, 736764, Dolores, Tolima",2024-06-01,F!08TbcEjw,Externo,2
31,Olga,,Trujillo,Rodríguez,olga.trujillo@correo.edu.co,6026547360,"Carrera 3ª # 48-5 Sur, Apto. 20, 761626, Argelia, Valle del Cauca",2022-11-03,tOBP9Esr*^,Externo,2
32,Kelly,Marcos,Amaya,Salgado,kelly.amaya@correo.edu.co,+57 314 320 31 72,"Avenida carrera 39 # 12P-14, 666854, Belén de Umbría, Risaralda",2025-07-23,G+2hkBArD3,Estudiante,5
33,Estiven,Adriana,Martínez,Franco,estiven.martinez@correo.edu.co,+573035636930,"Calle 94 # 68F-53, Apartamento 1, 131878, San Pablo, Bolívar",2018-11-21,8cT5ueyI^j,Externo,8
34,José,Edwin,Hernández,Hernández,jose.hernandez@correo.edu.co,573281594747,"Cr. 8ª # 97T-5, Local 4, 055833, Angelópolis, Antioquia",2025-10-09,h8J5zgSd@I,Docente,5
35,Elcy,Fanny,Burbano,Navarro,elcy.burbano@correo.edu.co,018003636885,"Carrera 180 # 83-7, Apto. 76, 059226, Girardota, Antioquia",2022-03-15,S&5exF9Vlf,Externo,8
36,Virginia,,Restrepo,Mejía,virginia.restrepo@correo.edu.co,57 326 408 38 58,"Calle 129 Sur # 26L-95 Este, 051657, Girardota, Antioquia",2019-01-10,oA1%aU!d*V,Bibliotecario,2
37,Jorge,Wilfredo,Pineda,Franco,jorge.pineda@correo.edu.co,(+57) 606 193 01 12,"Av. Cundinamarca # 7-43, Oficina 14, 086952, Juan de Acosta, Atlántico",2020-07-31,0$8OAvmks_,Externo,8
38,Susana,Daniela,Garcés,Galvis,susana.garces@correo.edu.co,3105714469,"Av. calle 134 # 5-71 Este, 523544, Mallama, Nariño",2021-09-23,mE82hRv9&4,Administrativo,5
39,Guillermo,Hernán,Rojas,Mantilla,guillermo.rojas@correo.edu.co,573185320775,"Dg. 66 # 1B-55 Sur, 869834, Colón, Putumayo",2018-03-10,!RHXm$2by5,Externo,3
40,Wendy,Néstor,Rincón,Sánchez,wendy.rincon@correo.edu.co,+573145038016,"Tr. 44D # 3-81 Este, Local 910, 150450, Santana, Boyacá",2020-01-10,Op%13Hy_aU,Externo,2
41,Rosa,Miryam,Ortiz,Caicedo,rosa.ortiz@correo.edu.co,+57 312 510 85 73,"Cl. 8C # 64-65 Este, 866091, San Miguel, Putumayo",2020-08-22,u$NS*7Wb*o,Bibliotecario,3
42,Óscar,,Castellanos,Cano,oscar.castellanos@correo.edu.co,573241260848,"Carrera 4A # 25T-7 Este, Bodega 7, 156931, La Capilla, Boyacá",2021-06-24,#*0JkmteI4,Bibliotecario,8
43,Julio,Pablo,Contreras,Cortés,julio.contreras@correo.edu.co,576013485142,"Cl. 85 # 2-22 Este, Torre 7 apartamento 50, 523134, Ospina, Nariño",2022-03-25,^4S&o3AKXa,Estudiante,2
44,Michel,Paola,Bedoya,Ruiz,michel.bedoya@correo.edu.co,3229179265,"Carrera 122T # 9-4 Sur, 082910, Luruaco, Atlántico",2021-08-04,KkKN1ZTcO),Bibliotecario,2
45,Katherine,Elena,Muñoz,Ruiz,katherine.munoz@correo.edu.co,9202683,"Cl. 130 # 4-59 Sur, Apartamento 45, 769586, Guadalajara de Buga, Valle del Cauca",2021-03-30,_7V_kS*l6S,Estudiante,3
46,Alfredo,Eugenia,Vargas,Castro,alfredo.vargas@correo.edu.co,+576024184220,"Avenida El Tarra # 46-7, Casa 6, 910831, Puerto Nariño, Amazonas",2020-07-02,$&8N6GSvVA,Administrativo,8
47,María,Sonia,García,Bermúdez,maria.garcia@correo.edu.co,604 507 07 16,"Calle 2ª # 54-65 Sur, Apartamento 91, 527085, La Unión, Nariño",2019-03-08,HD7ELOtL)(,Docente,8
48,Juan,Yenny,Hernández,Castillo,juan.hernandez@correo.edu.co,+57 317 830 55 73,"Av. carrera 144 # 86-72, Apto. 44, 702346, El Roble, Sucre",2024-04-28,w3lI*Aj*+A,Docente,8
49,Felipe,Adriana,Salgado,Muñoz,felipe.salgado@correo.edu.co,6079465689,"Cr. 136 # 31-35 Este, Apartamento 48, 730483, Piedras, Tolima",2019-11-06,01VW8$7u)_,Docente,3
50,Carmen,,Sánchez,Acosta,carmen.sanchez@correo.edu.co,(+57) 323 018 17 96,"Calle 22F # 51-9 Sur, 054997, Tarso, Antioquia",2024-09-26,g^R6vLqOYc,Administrativo,5
51,Simón,Alejandra,López,Hurtado,simon.lopez@correo.edu.co,57 315 726 16 94,"Carrera 3ª # 11-83, Torre 8 apartamento 9, 668999, Mistrató, Risaralda",2018-10-15,kd(4Lgul&7,Docente,2
52,María,,Miranda,Álvarez,maria.miranda@correo.edu.co,+576069372954,"Calle 25K # 24-3 Sur, Torre 6 apartamento 7, 477439, Santa Bárbara de Pinto, Magdalena",2021-01-30,(1nUqsx*e1,Administrativo,5
53,Jhon,,Medina,Jaramillo,jhon.medina@correo.edu.co,+57 305 413 84 53,"Cr. 79 Sur # 94-85, Local 7, 130796, Turbaná, Bolívar",2024-10-20,T4WX*Nb1_i,Bibliotecario,2
54,Fernanda,,Trujillo,Ramírez,fernanda.trujillo@correo.edu.co,573270721734,"Cr. 70 Este # 43-72 Sur, Casa 5, 052419, Briceño, Antioquia",2023-05-02,%k90Drp+y#,Docente,5
55,Jhon,Natalia,Peña,Narváez,jhon.pena@correo.edu.co,518 61 56,"Cr. 64 # 99V-30 Sur, Etapa 2 apartamento 55, 053705, Barbosa, Antioquia",2024-03-31,2G11UAuw5@,Externo,3
56,Cristina,,Montoya,López,cristina.montoya@correo.edu.co,+57 301 183 90 93,"Calle 4 Bis G # 9V-9 Este, 410662, Palermo, Huila",2018-08-24,M*3IgXgP$E,Externo,3
57,Gloria,,Barbosa,Garcés,gloria.barbosa@correo.edu.co,01 8005 507 435,"Avenida Jorge Rojas Carvajal # 7P-6, Local 397, 053969, El Bagre, Antioquia",2021-11-28,S2#VD8zw%7,Externo,3
58,Uriel,Ruby,Fernández,León,uriel.fernandez@correo.edu.co,+57 307 061 70 69,"Cl. 75 # 15-6, Apto. 51, 053847, Sonsón, Antioquia",2018-10-29,cGb7rNad(8,Administrativo,2
59,María,,Obando,Carmona,maria.obando@correo.edu.co,+573105669375,"Avenida González # 45E-90 Sur, 418925, Tello, Huila",2018-08-04,7FnNkYx6+U,Administrativo,2
60,Paula,Judith,Rodríguez,Villa,paula.rodriguez@correo.edu.co,6062127896,"Avenida Arauca # 1-42 Este, 208670, San Martín, Cesar",2023-06-13,c3&3jIgj*^,Externo,8
61,Manuel,,López,Forero,manuel.lopez@correo.edu.co,+576068731744,"Transversal 5 Bis P # 55-59 Este, 707850, Morroa, Sucre",2023-06-17,CVoL46Qw$5,Bibliotecario,5
62,María,,Bohórquez,Rodríguez,maria.bohorquez@correo.edu.co,326 751 49 75,"Cr. 106B Bis # 9-35, Etapa 2 apartamento 27, 200990, Chimichagua, Cesar",2025-05-12,+QwC4FXi2c,Docente,3
63,María,,Anaya,Daza,maria.anaya@correo.edu.co,(+57)6022034956,"Cl. 144N Sur # 26-9 Este, Oficina 6, 765837, La Cumbre, Valle del Cauca",2019-06-28,_86VHQpGre,Administrativo,8
64,Nubia,Alberto,Rivera,Silva,nubia.rivera@correo.edu.co,(+57)6038423302,"Calle 2ª # 16-5 Sur, 682214, Concepción, Santander",2023-04-01,Sg6g7HLpn%,Estudiante,8
65,María,Yesid,Arboleda,Pérez,maria.arboleda@correo.edu.co,308 735 18 66,"Calle 68L # 7-6 Este, Bodega 81, 413518, Tesalia, Huila",2021-09-07,vtE0GSCq@5,Externo,2
66,Wilmer,,Domínguez,Cortés,wilmer.dominguez@correo.edu.co,+57 315 581 67 59,"Avenida Bogotá, D.C. # 23-58 Sur, 198918, Balboa, Cauca",2018-05-04,$wE+cqUh54,Bibliotecario,5
67,Patricia,Eugenia,Ortega,Ramírez,patricia.ortega@correo.edu.co,214 61 33,"Cl. 1ª # 28-2, Local 6, 475303, Santa Ana, Magdalena",2025-07-07,S6LLge5l)t,Estudiante,3
68,Juan,Isabel,Rico,Zuluaga,juan.rico@correo.edu.co,(+57) 305 206 41 91,"Calle 71X # 96-3, Oficina 26, 050822, Envigado, Antioquia",2025-01-02,OUHa1Xjz#_,Administrativo,5
69,Mauricio,María,Jaramillo,Hernández,mauricio.jaramillo@correo.edu.co,317 228 70 32,"Calle 195 # 6-3 Este, 152438, Sutamarchán, Boyacá",2023-12-05,!l5uVwql$S,Docente,8
70,Julián,,Sanabria,Rivas,julian.sanabria@correo.edu.co,+57 307 695 09 04,"Calle 188 # 98-8 Este, Local 74, 131655, Santa Cruz de Mompox, Bolívar",2023-01-05,&wYN3a$Zr5,Externo,5
71,Luis,,Rodríguez,Castro,luis.rodriguez@correo.edu.co,(+57) 307 199 03 80,"Cr. 8I # 1X-6, Local 283, 209441, San Alberto, Cesar",2020-08-22,%E&gNZEr7a,Externo,8
72,Rocío,José,Delgado,Aguilar,rocio.delgado@correo.edu.co,(+57) 326 562 92 58,"Cl. 96 # 96-5 Este, Casa 9, 191832, Mercaderes, Cauca",2024-02-15,O&78lNyuUn,Bibliotecario,8
73,Ángela,,Acevedo,García,angela.acevedo@correo.edu.co,325 559 28 97,"Cr. 119 # 66-44 Sur, 258626, Villa de San Diego de Ubaté, Cundinamarca",2024-10-11,)ijLrzKW56,Bibliotecario,8
74,Felipe,Leonardo,Martínez,González,felipe.martinez@correo.edu.co,+573001597224,"Carrera 99 # 26-90, Casa 98, 154927, Soracá, Boyacá",2018-02-03,2%!o0ZhgrH,Bibliotecario,8
75,Luisa,Alonso,Herrera,Orozco,luisa.herrera@correo.edu.co,(+57) 310 967 46 27,"Avenida calle 75 # 92-6 Este, Apartamento 64, 151928, San Luis de Gaceno, Boyacá",2020-08-08,x2CaaTlb!q,Bibliotecario,2
76,Rosa,,Muñoz,Valderrama,rosa.munoz@correo.edu.co,57 316 784 46 07,"Carrera 5ª # 3-64, Bodega 6, 057755, Entrerríos, Antioquia",2021-05-01,_1iiQNiNK1,Estudiante,3
77,Yazmín,Julieth,Suárez,Ávila,yazmin.suarez@correo.edu.co,(+57)3043687715,"Av. carrera 4ª # 6-41 Sur, 669076, Mistrató, Risaralda",2018-06-06,z7(wOMpd)7,Bibliotecario,5
78,Marcela,Dayana,Morales,Burgos,marcela.morales@correo.edu.co,(+57)3164135474,"Cl. 18 # 6V-8 Este, 152328, Tunja",2025-09-14,u*)4Ptl7Zj,Administrativo,5
79,Estefanía,Karen,Restrepo,Vargas,estefania.restrepo@correo.edu.co,+573214797341,"Calle 79 # 2-8 Sur, 524560, Pasto",2021-02-16,i0#GUVbO)W,Docente,8
80,Rubén,Lucía,Zambrano,Morales,ruben.zambrano@correo.edu.co,57 308 967 63 53,"Cl. 43 Sur # 4D-1, 680722, Floridablanca, Santander",2019-07-19,M30Zy4Bt4%,Administrativo,5
81,Jhoan,Alba,Corredor,Ramírez,jhoan.corredor@correo.edu.co,9073565,"Cr. 188E # 2-29, 153794, Úmbita, Boyacá",2019-09-09,l^20Gz&(O_,Externo,8
82,Helena,Rafael,Ruiz,Corredor,helena.ruiz@correo.edu.co,(+57) 306 532 55 44,"Av. carrera 152 # 9-9, Apto. 91, 136738, Calamar, Bolívar",2024-09-30,+9Gjospv7b,Administrativo,5
83,Alexander,Olga,Vargas,Ortiz,alexander.vargas@correo.edu.co,+576047112728,"Carrera 48D # 66-12 Sur, 050906, Buriticá, Antioquia",2025-04-13,&1&W8QcTa7,Docente,8
84,Lorena,Pablo,Pérez,Meza,lorena.perez@correo.edu.co,(+57)3164967419,"Cr. 103U # 2-85 Este, 134909, Santa Cruz de Mompox, Bolívar",2018-08-13,g!U1zRGwMc,Externo,5
85,Tatiana,,Galeano,Padilla,tatiana.galeano@correo.edu.co,(+57)3126022169,"Cr. 139 Bis # 60-86, Bodega 68, 059335, Gómez Plata, Antioquia",2024-11-18,D1Pje)qg^t,Docente,2
86,Liliana,,Jaramillo,Morales,liliana.jaramillo@correo.edu.co,329 903 59 71,"Av. Santos # 5-72, Bodega 20, 765687, Argelia, Valle del Cauca",2022-04-13,^5YT15MihL,Estudiante,3
87,Lorena,Camila,Posada,Benítez,lorena.posada@correo.edu.co,(+57)3231730332,"Avenida Bogotá, D.C. # 47-2 Este, Oficina 875, 250484, Sibaté, Cundinamarca",2019-11-21,@50$VoMaUr,Bibliotecario,2
88,Yeny,Elver,Ortega,Suárez,yeny.ortega@correo.edu.co,+573254565728,"Av. carrera 1ª # 99-50 Este, Casa 39, 704854, Buenavista, Sucre",2022-08-23,Io8VWuLx&4,Bibliotecario,2
89,María,,Castañeda,Marín,maria.castaneda@correo.edu.co,+573277957039,"Cr. 1ª # 63Y-2, 667927, Apía, Risaralda",2018-03-18,(kNfa025c9,Bibliotecario,5
90,Juan,Ángela,Castro,Rodríguez,juan.castro@correo.edu.co,(+57) 310 694 30 69,"Carrera 4ª # 10-7 Sur, 505294, Puerto Concordia, Meta",2023-05-22,9N86Rkhl%6,Externo,2
91,Francisco,,Valencia,Bastidas,francisco.valencia@correo.edu.co,3242550786,"Dg. 17 # 69C-9 Sur, Bodega 90, 863922, Villagarzón, Putumayo",2023-04-08,U)3TSyrOn&,Administrativo,2
92,Orlando,Carolina,Figueroa,Ortega,orlando.figueroa@correo.edu.co,(+57) 314 416 03 32,"Cl. 112 # 12E-2 Este, 951028, El Retorno, Guaviare",2024-06-16,*58O_J^l7I,Bibliotecario,3
93,Maritza,,Parra,Duarte,maritza.parra@correo.edu.co,+573244203607,"Cl. 48 # 7-10, Local 5, 919587, Puerto Alegría, Amazonas",2024-09-26,%5N7bDtXMO,Docente,5
94,Yurani,Yeferson,Obando,Camacho,yurani.obando@correo.edu.co,6012925192,"Dg. 8Y # 38-2 Sur, Local 3, 159704, Viracachá, Boyacá",2023-01-25,)(5WK80zkC,Bibliotecario,8
95,Stella,,Arrieta,Niño,stella.arrieta@correo.edu.co,3226259188,"Avenida Pulí # 4-64 Sur, Apto. 397, 256772, Funza, Cundinamarca",2021-06-01,)yQpCIeAs7,Externo,3
96,Alba,Andrés,Rodríguez,Jiménez,alba.rodriguez@correo.edu.co,3179600094,"Cr. 122 # 3-19, 056242, Betania, Antioquia",2023-05-17,W&9uY%HbM(,Externo,2
97,Mercedes,Patricia,Rincón,Gaviria,mercedes.rincon@correo.edu.co,3290018429,"Cr. 8W # 41-15, Torre 6 apartamento 972, 239835, Tuchín, Córdoba",2020-01-13,#MjH6fYfUe,Externo,8
98,Silvia,,Leal,Franco,silvia.leal@correo.edu.co,573127873554,"Cl. 149 # 5-43 Este, 059206, Támesis, Antioquia",2023-12-01,8pg6qSca)d,Externo,2
99,Diana,Inés,Rodríguez,Ramos,diana.rodriguez@correo.edu.co,(+57) 305 330 23 64,"Diagonal 12 # 1-65, 150985, Caldas, Boyacá",2020-08-10,&C0OEhBp%V,Docente,8
100,Ingrid,Patricia,Vega,Sánchez,ingrid.vega@correo.edu.co,57 311 253 80 78,"Carrera 175K # 7-71, 139419, Arroyohondo, Bolívar",2023-12-28,)8#8JUupbq,Estudiante,3
101,María,Jaime,Cruz,Ballesteros,maria.cruz@correo.edu.co,+573104205986,"Av. calle 9ª # 1-2, 763360, Guacarí, Valle del Cauca",2020-03-21,I@$4YnyTR3,Docente,8
102,Luis,Martha,Parada,Ortega,luis.parada@correo.edu.co,018005185690,"Transversal 8ª # 1-9, 527280, Aldana, Nariño",2025-09-06,YLE8M4Oe_4,Bibliotecario,8
103,Rafael,Juan,Villamil,Arias,rafael.villamil@correo.edu.co,+57 305 498 36 71,"Calle 185 # 71-51 Sur, 256886, Apulo, Cundinamarca",2024-11-03,&FLz6vPt03,Administrativo,8
104,Fredy,Erika,Quintero,Mercado,fredy.quintero@correo.edu.co,57 307 773 03 16,"Calle 5ª # 52-65 Sur, 764872, Caicedonia, Valle del Cauca",2021-02-07,V#0KbVSj!H,Bibliotecario,8
105,Natalia,Diana,Rojas,Ramírez,natalia.rojas@correo.edu.co,3138300091,"Av. Putumayo # 7-74, Torre 6 apartamento 39, 277417, Río Iró, Chocó",2021-07-05,(*9Pw+jY%0,Docente,8
106,María,Nidia,Correa,Márquez,maria.correa@correo.edu.co,601 525 15 89,"Carrera 2ª # 3G-8 Este, 151666, Cerinza, Boyacá",2020-10-14,(XYGi&_G4S,Administrativo,5
107,Milena,Andrés,Perea,Ramírez,milena.perea@correo.edu.co,(+57)6061373714,"Cr. 161H Bis A # 8-2 Este, 256914, Beltrán, Cundinamarca",2019-06-25,l1gDsaWr)I,Estudiante,8
108,Eder,Marina,García,López,eder.garcia@correo.edu.co,(+57)6016811814,"Carrera 1 Bis # 8M-2 Sur, Torre 3 apartamento 69, 134470, Río Viejo, Bolívar",2018-07-18,3@*l8O8qw_,Bibliotecario,2
109,Dario,,Cárdenas,Ortiz,dario.cardenas@correo.edu.co,303 744 99 98,"Cr. 24 # 7-1, Apartamento 4, 686941, Simacota, Santander",2025-11-09,#5%Z$Oz56Y,Docente,3
110,Jorge,,Jiménez,Mesa,jorge.jimenez@correo.edu.co,3053606400,"Carrera 4 Bis A # 11-1 Sur, 279894, Acandí, Chocó",2023-09-11,*Yi4NUAc0z,Docente,2
111,Martha,,Rivas,Marín,martha.rivas@correo.edu.co,573200490214,"Carrera 66 # 4-22 Sur, 273338, El Carmen de Atrato, Chocó",2025-07-24,5_!0%GxVGH,Bibliotecario,3
112,René,,Ávila,Jaimes,rene.avila@correo.edu.co,(+57)3231739462,"Avenida carrera 168 # 51-2, 255392, Topaipí, Cundinamarca",2021-12-26,)i9GvGFz*%,Docente,8
113,Paola,Óscar,Giraldo,Herrera,paola.giraldo@correo.edu.co,(+57) 319 893 54 64,"Avenida carrera 4ª # 53-3 Sur, 635570, Buenavista, Quindío",2021-03-29,+1XxE)rZCX,Administrativo,8
114,Julián,Orlando,González,Fuentes,julian.gonzalez@correo.edu.co,+576084156161,"Cr. 58 # 16-99 Sur, Etapa 9 apartamento 2, 250088, Pulí, Cundinamarca",2024-12-10,u*77)2GMYv,Externo,2
115,Isabel,Dagoberto,Perdomo,Contreras,isabel.perdomo@correo.edu.co,+57 607 520 63 18,"Cr. 96N Este # 2-7 Sur, Bodega 7, 152364, Miraflores, Boyacá",2018-11-23,_&4egaAhs+,Bibliotecario,3
116,Mery,,Agudelo,Cruz,mery.agudelo@correo.edu.co,+57 309 995 22 52,"Tr. 13 # 90-1 Sur, 688111, Aratoca, Santander",2020-02-10,PBDbj%Zc(7,Estudiante,5
117,Carolina,Maritza,López,Sánchez,carolina.lopez@correo.edu.co,(+57) 306 372 16 26,"Calle 199K Bis # 87-4 Este, 548418, San Calixto, Norte de Santander",2021-05-15,n*p9DTGtf7,Estudiante,5
118,Franklin,,Cárdenas,Torres,franklin.cardenas@correo.edu.co,(+57) 326 256 76 11,"Tr. 90 # 59-92, Local 92, 170080, Marmato, Caldas",2019-05-19,l#7eHfZ4(E,Administrativo,8
119,Rosa,Gilma,Rodríguez,Garzón,rosa.rodriguez@correo.edu.co,6027842874,"Cr. 10 # 20C-58 Este, Bodega 75, 172955, Marmato, Caldas",2025-09-25,4q3We!L)(+,Administrativo,3
120,Manuel,Henry,Bedoya,Ramírez,manuel.bedoya@correo.edu.co,(+57)3253916928,"Cr. 103 # 5-60 Sur, 056968, Jericó, Antioquia",2023-10-20,*%U!19Am#C,Externo,2
121,Isabel,,Garcés,Serrano,isabel.garces@correo.edu.co,3080924115,"Cr. 32 # 68-90 Este, Local 191, 051525, Apartadó, Antioquia",2019-12-16,$5uUwoAz07,Externo,8
122,Ángel,,García,Caro,angel.garcia@correo.edu.co,3055862778,"Tr. 5A # 98L-1 Este, Casa 7, 941748, Puerto Colombia, Guainía",2024-05-26,Jl7ADrz4w),Docente,3
123,María,Felipe,Romero,Parra,maria.romero@correo.edu.co,+573177991137,"Av. Antioquia # 95-8, 234511, Valencia, Córdoba",2021-09-08,15VeWF!Q@f,Externo,5
124,Alexis,,Fernández,Camargo,alexis.fernandez@correo.edu.co,8746113,"Avenida Buesaco # 6E-98 Este, Bodega 26, 153878, Páez, Boyacá",2018-03-23,(j7QUH5us6,Estudiante,5
125,Amparo,Juan,Ávila,Páez,amparo.avila@correo.edu.co,573145744410,"Av. Caquetá # 40-64 Este, 683475, Suratá, Santander",2021-08-05,QwZ8gGWt_E,Externo,8
126,Elkin,,Zapata,Guerrero,elkin.zapata@correo.edu.co,01 8001 678 434,"Calle 80 # 73-3, 057613, Puerto Berrío, Antioquia",2018-12-10,P$3WVWwTc$,Externo,3
127,Valentina,,Sánchez,Moreno,valentina.sanchez@correo.edu.co,(+57)3114972490,"Cr. 109 # 6-65 Sur, 197714, Patía, Cauca",2022-01-30,#7B^IAek+l,Estudiante,8
128,Carlos,Edison,Hurtado,Arteaga,carlos.hurtado@correo.edu.co,(+57) 607 270 65 07,"Cr. 130 # 65L-6 Este, Casa 3, 155644, Ventaquemada, Boyacá",2018-02-26,3C!0iWEn4^,Docente,2
129,Daniel,Luz,Buitrago,Peña,daniel.buitrago@correo.edu.co,6037823696,"Carrera 19O # 17-2 Sur, Casa 3, 059755, Chigorodó, Antioquia",2018-09-16,%13F#KN0_b,Externo,3
